"ano";"semestre";"campus";"unidade_academica";"curso";"modalidade";"formato";"tipo_evasao";"evadidos"
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";4
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";1
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"BACHARELADO";"PRESENCIAL";"NRM";1
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";1
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";2
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";7
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"BACHARELADO";"PRESENCIAL";"NRM";2
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA METALURGICA-MET";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";1
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA METALURGICA-MET";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";5
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA METALURGICA-MET";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";5
2004;1;"OURO PRETO";"ESCOLA DE NUTRICAO";"NUTRICAO-NUT";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";5
2004;1;"OURO PRETO";"ESCOLA DE NUTRICAO";"NUTRICAO-NUT";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";2
2004;1;"OURO PRETO";"ESCOLA DE NUTRICAO";"NUTRICAO-NUT";"BACHARELADO";"PRESENCIAL";"NRM";3
