Ano;Semestre;Campus;Unidade Acadêmica;Curso;Modalidade;Formato;Tipo Evasão;Alunos
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA CIVIL-CIV;BACHARELADO;PRESENCIAL;NRM;1
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;BACHARELADO;PRESENCIAL;NRM;7
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;BACHARELADO;PRESENCIAL;NRM;1
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE MINAS-MIN;BACHARELADO;PRESENCIAL;NRM;3
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;BACHARELADO;PRESENCIAL;NRM;5
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE PRODUCAO-PRO;BACHARELADO;PRESENCIAL;NRM;4
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;BACHARELADO;PRESENCIAL;NRM;3
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA MECANICA-MEC;BACHARELADO;PRESENCIAL;NRM;2
2018;1;OURO PRETO;ESCOLA DE FARMACIA;FARMACIA-FAR;BACHARELADO;PRESENCIAL;NRM;4
2018;1;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;FILOSOFIA-FLB;BACHARELADO;PRESENCIAL;NRM;3
2018;1;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;FILOSOFIA-FLL;LICENCIATURA;PRESENCIAL;NRM;1
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIB;BACHARELADO;PRESENCIAL;NRM;2
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIL;LICENCIATURA;PRESENCIAL;NRM;5
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;JORNALISMO-JOR;BACHARELADO;PRESENCIAL;NRM;2
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTL;LICENCIATURA;PRESENCIAL;NRM;1
2018;1;OURO PRETO;ESCOLA DE MEDICINA;MEDICINA-MED;BACHARELADO;PRESENCIAL;NRM;1
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;MUSEOLOGIA-MUL;BACHARELADO;PRESENCIAL;NRM;6
2018;1;OURO PRETO;ESCOLA DE NUTRICAO;NUTRICAO-NUT;BACHARELADO;PRESENCIAL;NRM;1
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;PEDAGOGIA-PED;LICENCIATURA;PRESENCIAL;NRM;8
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA INDUSTRIAL-QUI;BACHARELADO;PRESENCIAL;NRM;1
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA-QLI;LICENCIATURA;PRESENCIAL;NRM;4
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;SERVICO SOCIAL-SER;BACHARELADO;PRESENCIAL;NRM;6
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;SISTEMAS DE INFORMACAO-SJM;BACHARELADO;PRESENCIAL;NRM;2
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;TURISMO-TUR;BACHARELADO;PRESENCIAL;NRM;8
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;BACHARELADO;PRESENCIAL;OBITO;1
2018;1;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACB;BACHARELADO;PRESENCIAL;REOPÇÃO;2
2018;1;OURO PRETO;ESCOLA DE NUTRICAO;CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI;BACHARELADO;PRESENCIAL;REOPÇÃO;3
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;BACHARELADO;PRESENCIAL;REOPÇÃO;2
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;DIREITO-DIR;BACHARELADO;PRESENCIAL;REOPÇÃO;1
2018;1;OURO PRETO;REITORIA;EDUCACAO FISICA-EFL;LICENCIATURA;PRESENCIAL;REOPÇÃO;4
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;BACHARELADO;PRESENCIAL;REOPÇÃO;1
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE MINAS-MIN;BACHARELADO;PRESENCIAL;REOPÇÃO;2
